Title Text,Publisher Text,Publisher Link,Developer Text,Link to Developer,Price,Genre,Tags,Languages,Size text,Summary,Key features,Files
Bachelor Life,Crafty Game Lab,https://www.nutaku.net/games/genre/tag/platform/os/dev/crafty-game-lab/lang/filter/price/features/status/ranking/,Crafty Game Lab,https://www.nutaku.net/games/genre/tag/platform/os/crafty-game-lab/pub/lang/filter/price/features/status/ranking/,$ 9.99 999,"Simulation,Dating Sim,Adventure","3D,First Person,Big Ass,Big Breasts,POV,Uncensored,Realistic,Short Hair,Minigame,Muscle,Role play,Animated Sex,Milf,Western",English,5.11 gb,English,1.21,
Aokana - Four Rhythms Across the Blue,NekoNyan,https://www.nutaku.net/games/genre/tag/platform/os/dev/nekonyan/lang/filter/price/features/status/ranking/,sprite,https://www.nutaku.net/games/genre/tag/platform/os/sprite/pub/lang/filter/price/features/status/ranking/,"$ 34.99 3,499","Visual Novel,Casual","Big Breasts,Creampie,Kimono,Leg Lock,School Uniform,Mosaic Censorship,Virginity,Oral Sex,Hairjob,Romance",English,9.4 gb,English,1.0,
